N_dw,N_v,N_c,N_iw,N_s,F,IF_rc,IF_vb,IF_ve,IF_vc,PS,IF_p,IF_w,Date,Word,Number of reported results,Number in hard mode,R_h,R_t1,R_t2,R_t3,R_t4,R_t5,R_t6,R_tx,ATN,cluster_2,cluster_3,cluster_4,difficulty_mean_2,L_d,difficulty_freq_4
0.5,0.666666667,0.333333333,0,0.5,0.002566711,1,1,0,0,NN,1,1,2022/1/13,abbey,132726,3345,0.025202296,1,2,13,29,31,20,3,4.65,1,1,2,hard,normal,hard+
0,0.666666667,0.333333333,0,0.5,0.013578455,0,1,0,0,NN,1,0,2022/9/25,admit,28994,2677,0.092329447,0,10,25,34,22,8,1,3.99,2,2,1,easy,normal,normal
0,1,0,0,0.5,0.00073213,0,1,1,0,NN,0,0,2022/12/4,adore,25577,2398,0.093756109,2,17,32,29,15,5,1,3.63,2,2,1,easy,easy,easy
0.5,1,0,0,0.5,0,0,1,1,0,NN,1,1,2022/7/7,agape,43407,3671,0.084571613,0,2,18,36,27,15,3,4.57,1,1,4,hard,normal,hard+
0.5,1,0,0,0.5,0.039969182,0,1,0,1,RB,1,1,2022/3/4,ahead,203730,9396,0.046119865,1,5,20,35,26,12,2,4.33,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0.002200646,0,1,0,0,NN,1,1,2022/5/24,album,63380,4809,0.075875671,0,5,26,35,24,9,1,4.12,2,2,4,easy,normal,normal
0,1,0,0,1,0.005874065,0,1,0,1,NN,1,0,2022/8/6,alien,38841,3395,0.087407636,3,17,31,29,15,4,0,3.45,2,2,1,easy,easy,easy
0,1,0,0,0.5,0.007321299,0,1,1,0,RB,1,1,2022/9/20,alike,31277,2843,0.090897465,0,6,20,33,27,12,2,4.31,2,1,4,hard,normal,hard
0.5,0.666666667,0.333333333,0,0.5,0.026390727,1,1,0,0,VB,1,0,2022/3/19,allow,156311,8515,0.054474733,0,5,21,32,26,14,3,4.45,1,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0.001098195,0,1,0,0,RB,1,0,2022/2/5,aloft,319698,13708,0.042877966,1,4,22,36,25,11,2,4.3,2,1,4,hard,normal,hard
0,1,0,0,0.5,0.004767357,0,1,0,1,NN,1,1,2022/11/3,aloud,29554,2819,0.095384719,1,18,31,30,15,4,1,3.59,2,2,1,easy,easy,easy
0.5,0.666666667,0.333333333,0,0.5,0.002200646,0,1,1,0,NN,1,1,2022/9/13,alpha,29497,2706,0.091738143,0,3,19,40,28,9,1,4.27,2,1,4,easy,normal,hard
0,0.666666667,0.333333333,0,0.5,0.001098195,0,1,0,0,NN,1,1,2022/12/6,amber,23509,2261,0.096175933,0,6,22,33,24,12,3,4.32,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0.005874065,0,1,1,0,NN,1,0,2022/4/17,ample,106681,7008,0.065691173,0,4,20,35,27,11,2,4.29,2,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0.5,0.016515488,0,1,0,0,JJ,1,1,2022/7/19,angry,39667,3358,0.084654751,0,5,27,38,21,7,1,4,2,2,1,easy,normal,normal
0.5,1,0,0,1,0.001098195,0,1,1,1,NN,0,1,2022/12/23,aorta,21937,2112,0.096275699,0,7,26,35,20,10,3,4.22,2,1,4,easy,normal,hard
0,0.666666667,0.333333333,0,0.5,0,0,1,0,0,NN,0,1,2022/7/21,aphid,39086,3367,0.086143376,0,6,24,36,23,9,2,4.17,2,1,4,easy,normal,normal
0.5,0.333333333,0.666666667,0,0.5,0.020516662,1,1,0,0,VB,1,1,2022/12/12,apply,22873,2150,0.093997289,0,5,28,38,22,7,1,4.08,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.002566711,0,1,0,0,NN,1,1,2022/6/16,apron,53430,4112,0.076960509,0,7,30,38,19,5,1,3.91,2,2,1,easy,normal,easy
0,0.333333333,0.666666667,0,0.5,0.00146426,0,1,0,0,RB,0,1,2022/10/31,aptly,26498,2572,0.097063929,0,3,26,41,23,7,1,4.15,2,1,4,easy,normal,normal
0.5,1,0,0,1,0.001098195,0,1,1,0,NN,1,1,2022/2/15,aroma,287836,10343,0.035933657,1,6,25,33,22,11,2,4.16,2,1,4,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.000366491,0,1,0,0,NN,1,1,2022/4/25,askew,91548,6549,0.071536243,0,3,13,29,32,19,4,4.75,1,1,2,hard,normal,hard+
0.5,0.666666667,0.333333333,0,0.5,0.001834581,1,1,0,0,NN,0,1,2022/5/26,asset,63188,4733,0.074903463,0,7,28,34,21,8,1,3.97,2,2,1,easy,normal,easy
0.5,0.666666667,0.333333333,0,0.5,0,1,1,0,0,NN,0,0,2022/5/30,atoll,60969,4741,0.077760829,0,6,28,36,21,8,1,4.03,2,2,1,easy,normal,normal
0,1,0,0,0.5,0.000366491,0,1,1,0,NN,1,1,2022/6/14,atone,59968,4762,0.079409018,2,16,34,29,14,4,1,3.56,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0.5,0.000366491,0,1,0,0,NN,1,0,2022/11/19,avert,24749,2400,0.096973615,0,7,26,35,22,9,1,4.06,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.006214591,0,1,0,0,NN,1,1,2022/6/22,awful,47645,3861,0.081036835,0,5,21,33,27,12,2,4.32,2,1,4,hard,normal,hard
0,1,0,1,1,0.000366491,0,1,0,1,NN,1,1,2022/11/21,axiom,24288,2382,0.098073123,0,5,19,33,27,13,3,4.42,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0,0.001834581,0,0,1,0,NN,1,1,2022/5/6,badge,76292,5482,0.071855503,0,4,20,35,26,12,2,4.3,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0.013195364,0,0,0,0,NN,1,1,2022/11/16,baker,25576,2541,0.099350954,0,5,16,23,24,22,10,5.02,1,3,2,hard,hard,hard+
0,1,0,0,0.5,0.00073213,0,0,1,1,NN,0,0,2022/5/29,bayou,56839,4435,0.078027411,0,6,17,33,29,13,2,4.38,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0.000366491,0,0,0,1,NN,1,0,2022/6/25,beady,46089,3670,0.079628545,0,3,19,39,29,10,1,4.34,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0.030774994,0,0,0,0,NN,1,1,2022/11/7,begin,26096,2439,0.0934626,0,6,26,36,23,7,1,4.01,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0.260997059,0,0,0,1,VBG,1,1,2022/5/17,being,70722,5142,0.07270722,0,4,22,37,26,10,1,4.22,2,1,4,easy,normal,hard
0,0.333333333,0.666666667,0,0,0.00146426,0,0,0,0,NN,1,0,2022/7/10,berth,41785,3494,0.083618523,0,7,24,35,24,9,1,4.1,2,2,1,easy,normal,normal
0,0.333333333,0.666666667,0,0,0.074413338,0,0,0,0,JJ,1,0,2022/4/10,black,126241,7894,0.06253119,1,10,31,34,18,6,1,3.86,2,2,1,easy,normal,easy
0,0.333333333,0.666666667,0,0,0.001098195,0,0,0,0,NN,1,1,2022/7/13,bland,46246,3727,0.080590754,0,7,31,38,18,4,0,3.73,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0.000366491,0,0,1,0,NN,0,1,2022/2/24,bloke,250674,10405,0.041508094,1,6,21,32,25,12,2,4.21,2,1,4,easy,normal,hard
0,0.333333333,0.666666667,0,0,0.003298841,0,0,0,0,NN,1,1,2022/6/17,blown,54665,4251,0.077764566,0,6,23,35,26,10,1,4.21,2,1,4,easy,normal,hard
0.5,0.333333333,0.666666667,0,0,0.002932776,1,0,0,0,NN,1,0,2022/7/30,bluff,37353,3171,0.08489278,0,2,14,42,31,10,1,4.39,2,1,4,hard,normal,hard
0.5,1,0,1,0,0.00146426,1,0,1,1,NN,1,1,2022/9/12,booze,29147,2883,0.09891241,0,1,7,27,38,23,4,4.99,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0,0.00073213,0,0,0,1,NN,0,1,2022/10/4,bough,32014,3060,0.095583182,0,3,17,35,28,13,3,4.45,1,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0,0,0,0,0,1,NN,1,1,2022/12/9,braid,23640,2165,0.091582064,0,10,36,35,14,3,0,3.56,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0.008811098,0,0,1,0,NN,1,0,2022/11/20,brave,24991,2396,0.095874515,1,6,17,27,27,18,5,4.65,1,1,2,hard,normal,hard+
0,0.666666667,0.333333333,0,0,0,0,0,1,0,NN,1,0,2022/3/5,brine,229895,10405,0.045259793,1,9,25,29,22,12,3,4.22,2,1,4,easy,normal,hard
0,0.333333333,0.666666667,0,0,0.001098195,0,0,0,0,NN,1,1,2022/6/23,brink,53111,4118,0.077535727,0,4,22,41,24,7,1,4.1,2,2,1,easy,normal,normal
0,0.333333333,0.666666667,0,0,0.002566711,0,0,0,0,NN,1,1,2022/9/26,brisk,31706,2884,0.090960701,0,5,23,38,24,7,1,4.03,2,2,1,easy,normal,normal
0.5,0.333333333,0.666666667,0,0.5,0.002200646,1,0,0,0,NN,1,1,2022/8/5,buggy,37350,3428,0.091780455,0,1,9,29,34,22,5,4.97,1,3,2,hard,hard,hard+
0.5,1,0,0,1,0.000366491,0,0,1,1,NN,0,0,2022/6/18,cacao,47205,4101,0.08687639,0,1,9,27,36,23,4,4.95,1,3,2,hard,hard,hard+
0.5,0.333333333,0.666666667,0,0.5,0.00073213,1,0,0,0,NN,0,0,2022/5/8,canny,72518,5256,0.072478557,0,2,10,30,34,20,4,4.84,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0.5,0.002566711,0,0,1,0,NN,0,1,2022/4/20,cargo,102007,6796,0.066622879,0,5,20,34,27,12,2,4.33,2,1,4,hard,normal,hard
0.5,0.333333333,0.666666667,0,0.5,0.032264793,1,0,0,0,NN,1,1,2022/10/27,carry,27609,2615,0.094715491,0,4,22,35,24,12,3,4.36,2,1,4,hard,normal,hard
0.5,0.333333333,0.666666667,0,0,0.015749305,0,0,0,0,NN,1,0,2022/10/15,catch,30403,3123,0.102720126,0,7,18,20,15,16,23,5.49,1,3,3,hard,hard,hard+
0,0.666666667,0.333333333,0,0.5,0.00146426,0,0,0,0,NN,1,1,2022/3/16,cater,217856,11234,0.051566172,1,7,19,22,19,18,15,5.13,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0,0,0,0,0,1,NN,1,1,2022/2/16,caulk,289721,10740,0.037070147,1,4,20,31,26,15,3,4.43,1,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0,0.000366491,0,0,1,0,NN,1,1,2022/12/2,chafe,24646,2343,0.095066136,0,6,30,33,19,9,2,4.03,2,2,1,easy,normal,normal
0,0.333333333,0.666666667,0,0,0.00073213,0,0,0,0,NN,1,0,2022/2/27,chant,250413,10438,0.041683139,1,9,33,33,16,7,1,3.82,2,2,1,easy,normal,easy
0,0.333333333,0.666666667,0,0,0.009534714,0,0,0,0,NN,1,1,2022/9/2,charm,35724,3149,0.088148024,1,12,32,34,16,5,1,3.77,2,2,1,easy,easy,easy
0.5,0.666666667,0.333333333,0,0,0.007321299,1,0,0,1,NN,1,0,2022/4/16,cheek,107987,7035,0.065146731,0,3,19,40,28,9,1,4.27,2,1,4,easy,normal,hard
0,0.333333333,0.666666667,0,0,0.019409954,0,0,0,0,NN,1,1,2022/3/24,chest,169066,9318,0.055114571,1,14,35,31,14,5,1,3.68,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0.043621744,0,0,0,1,NN,1,1,2022/8/29,chief,34281,3072,0.089612322,1,6,32,38,18,5,0,3.81,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.003298841,0,0,1,0,NN,1,1,2022/2/28,choke,251094,10521,0.041900643,1,8,30,36,18,6,1,3.87,2,2,1,easy,normal,easy
0,0.333333333,0.666666667,0,0,0.002566711,0,0,0,0,NN,1,0,2022/12/17,chord,22336,2088,0.093481375,0,7,39,38,13,3,0,3.66,2,2,1,easy,easy,easy
0,0.333333333,0.666666667,0,0,0.00073213,0,0,0,0,NN,1,1,2022/4/13,chunk,123255,7835,0.063567401,1,4,29,42,18,5,1,3.94,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.00073213,0,0,1,0,NN,1,0,2022/9/17,chute,33418,3073,0.091956431,0,11,37,36,12,3,0,3.55,2,2,1,easy,easy,easy
0.5,0.333333333,0.666666667,0,0,0.001098195,0,0,0,0,NN,1,1,2022/7/26,cinch,39171,3507,0.08953052,0,2,15,24,22,25,13,5.35,1,3,2,hard,hard,hard+
0.5,0.333333333,0.666666667,0,0,0.075879726,1,0,0,0,NN,1,1,2022/9/8,class,31962,3001,0.093892748,0,4,21,32,22,13,7,4.57,1,1,4,hard,normal,hard+
0,0.333333333,0.666666667,0,0,0.002200646,0,0,0,0,VBG,1,1,2022/8/10,cling,37654,3312,0.087958783,0,4,20,34,27,13,2,4.37,2,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0,0.015749305,0,0,0,0,NN,0,0,2022/3/6,cloth,218595,9911,0.045339555,1,8,33,34,17,7,1,3.89,2,2,1,easy,normal,easy
0,0.333333333,0.666666667,0,0,0.001098195,0,0,0,0,NN,1,1,2022/8/25,clown,36737,3175,0.08642513,1,8,29,36,20,6,1,3.94,2,2,1,easy,normal,easy
0.5,0.666666667,0.333333333,0,0.5,0.00073213,1,0,1,0,NN,1,1,2022/4/6,comma,117856,7560,0.064146077,0,2,13,33,33,17,3,4.72,1,1,2,hard,normal,hard+
0.5,0.666666667,0.333333333,0,0.5,0,0,0,1,0,NN,0,1,2022/12/27,condo,20879,2012,0.096364768,0,2,17,35,29,14,3,4.54,1,1,4,hard,normal,hard+
0,0.666666667,0.333333333,0,0,0.586876998,0,0,0,1,MD,0,0,2022/1/29,could,313220,11592,0.037009131,1,7,29,35,20,8,1,4,2,2,1,easy,normal,normal
0.5,0.333333333,0.666666667,0,0.5,0.000366491,0,0,0,0,NN,0,1,2022/8/2,coyly,34909,3380,0.096823169,0,0,4,17,28,35,15,5.8,1,3,3,hard,hard,hard+
0,0.333333333,0.666666667,0,0,0.00073213,0,0,0,0,NN,1,0,2022/7/31,cramp,39250,3369,0.085834395,1,8,26,33,19,10,2,4.02,2,2,1,easy,normal,normal
0,0.333333333,0.666666667,0,0,0.000366491,0,0,0,0,NN,1,0,2022/1/8,crank,101503,1763,0.017368945,1,5,23,31,24,14,2,4.28,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0,0.000366491,0,0,0,1,NN,1,1,2022/6/1,creak,63241,4797,0.075852691,0,5,21,32,25,14,3,4.4,2,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0,0.004030971,0,0,0,0,NN,1,0,2022/5/28,crept,60069,4562,0.075945995,0,4,27,38,22,7,1,4.03,2,2,1,easy,normal,normal
0,0.333333333,0.666666667,0,0,0,0,0,0,0,NN,1,0,2022/1/23,crimp,269929,7630,0.028266692,1,5,28,38,20,7,1,3.99,2,2,1,easy,normal,normal
0.5,0.333333333,0.666666667,0,0.5,0,0,0,0,0,NN,1,1,2022/2/14,cynic,261521,10343,0.039549405,1,6,25,33,22,11,2,4.16,2,1,4,easy,normal,normal
0.5,0.333333333,0.666666667,0,0.5,0.006214591,0,0,0,0,NN,1,1,2022/10/7,dandy,29026,2840,0.097843313,0,2,11,23,29,24,11,5.28,1,3,2,hard,hard,hard+
0.5,0.666666667,0.333333333,0,0,0,0,0,1,0,NN,0,1,2022/5/16,delve,68349,5179,0.075772872,0,2,14,32,33,16,2,4.55,1,1,4,hard,normal,hard+
0,0.666666667,0.333333333,0,0.5,0,0,0,0,0,NN,1,1,2022/10/20,denim,28741,2769,0.096343203,0,5,29,40,20,5,0,3.87,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0.5,0.004767357,0,0,0,0,NN,1,1,2022/3/25,depot,150197,8562,0.057005133,0,5,29,36,20,7,1,3.93,2,2,1,easy,normal,easy
0,0.333333333,0.666666667,0,0,0.019409954,0,0,0,0,NN,1,0,2022/6/5,depth,56738,4329,0.076298072,0,6,28,39,20,6,1,3.98,2,2,1,easy,normal,normal
0.5,0.666666667,0.333333333,0,0,0.004030971,0,0,1,0,NN,1,1,2022/2/18,dodge,265238,10220,0.038531432,1,3,15,29,27,19,7,4.87,1,3,2,hard,hard,hard+
0.5,0.666666667,0.333333333,0,0.5,0.001834581,0,0,0,0,NN,1,1,2022/6/13,donor,53802,4142,0.076985986,0,3,27,38,23,7,1,4.06,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0,0.041799507,0,0,0,1,NN,1,1,2022/9/15,doubt,33344,3011,0.090301104,1,12,32,34,16,4,0,3.61,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0.023453695,0,0,0,1,NN,1,0,2022/11/5,dream,29743,2751,0.092492351,5,14,31,29,15,4,1,3.51,2,2,1,easy,easy,easy
0,0.333333333,0.666666667,0,0,0.030051377,0,0,0,0,NN,1,1,2022/1/11,drink,153880,3017,0.019606187,1,9,35,34,16,5,1,3.8,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.038479383,0,0,1,0,NN,1,1,2022/11/23,drive,26663,2451,0.09192514,1,12,32,30,18,6,1,3.77,2,2,1,easy,easy,easy
0.5,0.333333333,0.666666667,0,0,0,1,0,0,0,NN,0,1,2022/6/28,droll,47312,3844,0.081247886,0,2,16,31,31,17,3,4.63,1,1,4,hard,normal,hard+
0.5,0.666666667,0.333333333,0,0.5,0,0,1,0,0,NN,0,0,2022/7/2,egret,41765,3515,0.084161379,0,3,14,33,33,15,2,4.55,1,1,4,hard,normal,hard+
0.5,0.666666667,0.333333333,0,0.5,0.000366491,0,1,0,0,NN,1,1,2022/12/1,eject,22628,2200,0.097224677,0,2,11,35,36,14,2,4.61,1,1,4,hard,normal,hard+
0.5,0.666666667,0.333333333,0,0.5,0.005490974,0,1,0,0,NN,1,1,2022/2/7,elder,288228,13340,0.046282804,1,3,13,24,30,24,5,4.86,1,3,2,hard,hard,hard+
0.5,1,0,0,0.5,0,0,1,1,0,NN,0,1,2022/7/25,elope,39228,3339,0.085117773,0,4,22,32,26,13,2,4.3,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0.016132396,0,1,0,0,NN,1,1,2022/10/10,enjoy,26878,2654,0.098742466,0,3,12,29,33,20,3,4.73,1,1,2,hard,normal,hard+
0,0.666666667,0.333333333,1,1,0.00073213,0,1,0,0,NN,1,0,2022/3/26,epoxy,149507,9376,0.062712783,0,2,13,31,33,18,3,4.7,1,1,2,hard,normal,hard+
0,1,0,1,0.5,0.032988409,0,1,0,1,JJ,1,1,2022/10/13,equal,27197,2677,0.098429974,0,5,23,35,25,11,2,4.3,2,1,4,hard,normal,hard
0.5,0.666666667,0.333333333,1,0.5,0.000366491,0,1,0,0,NN,0,1,2022/12/22,excel,20490,2034,0.099267936,0,1,13,34,34,15,2,4.57,1,1,4,hard,normal,hard+
0,0.666666667,0.333333333,1,0.5,0.02162337,0,1,0,0,NN,1,1,2022/10/18,exist,28612,2805,0.098035789,0,5,24,38,23,8,1,4.07,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,1,0.5,0.018345812,0,1,1,0,JJ,1,0,2022/12/25,extra,15554,1562,0.100424328,1,5,20,35,28,10,1,4.21,2,1,4,easy,normal,hard
0,0.666666667,0.333333333,0,0,0.001098195,0,0,1,0,NN,1,1,2022/5/11,farce,79446,5688,0.071595801,0,9,26,32,21,9,1,3.93,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.008044915,0,0,0,1,NN,1,1,2022/10/24,fault,28947,2768,0.095623035,0,7,27,35,22,8,1,4.03,2,2,1,easy,normal,normal
0,0.666666667,0.666666667,0,0.5,0,0,0,0,0,NN,0,1,2022/1/12,favor ,137586,3073,0.022335121,1,4,15,26,29,21,4,4.69,1,1,2,hard,normal,hard+
0,0.666666667,0.333333333,0,0,0.001098195,0,0,0,1,NN,1,0,2022/11/24,feast,27705,2725,0.098357697,5,13,25,27,19,10,2,3.89,2,2,1,easy,normal,easy
0.5,0.666666667,0.333333333,0,0.5,0.012088656,0,0,0,0,JJR,1,0,2022/4/3,fewer,124532,7931,0.063686442,0,2,10,24,32,26,6,5.06,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0,0.100439704,0,0,0,1,NN,1,1,2022/7/5,field,44578,3604,0.080847055,1,6,25,36,23,9,1,4.11,2,2,4,easy,normal,normal
0,0.666666667,0.333333333,0,0,0.002932776,0,0,0,1,NN,1,1,2022/4/18,flair,112383,7341,0.065321267,1,8,30,36,18,6,1,3.87,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.001098195,0,0,0,1,NN,1,0,2022/6/12,float,56684,4323,0.076264907,1,12,30,32,18,6,1,3.79,2,2,1,easy,normal,easy
0,0.333333333,0.666666667,0,0,0.003664906,0,0,0,0,NN,1,1,2022/7/18,flock,42574,3548,0.083337248,0,4,22,37,27,9,1,4.21,2,1,4,easy,normal,hard
0.5,0.666666667,0.333333333,0,0,0.006980773,1,0,0,1,NN,1,1,2022/6/7,flood,58991,4440,0.075265718,0,3,20,40,28,8,1,4.24,2,1,4,easy,normal,hard
0.5,0.666666667,0.333333333,0,0,0.057917857,1,0,0,1,NN,1,1,2022/10/14,floor,28906,2752,0.095205148,0,3,23,44,24,6,0,4.07,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0,0,0,0,0,1,NN,1,1,2022/10/26,flout,30063,2904,0.096597146,0,6,28,37,21,7,1,4.01,2,2,1,easy,normal,normal
1,0.333333333,0.666666667,0,0,0.000366491,1,0,0,0,NN,1,1,2022/7/6,fluff,47344,4049,0.085522981,0,0,4,25,44,23,4,5.1,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0.5,0.014642597,0,0,0,0,NN,1,0,2022/3/13,focus,179436,8937,0.049806059,1,4,23,36,24,10,1,4.12,2,2,4,easy,normal,normal
