Date,is_workday,Contest number,Word,Number of reported results,Number in hard mode,percent in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),ATN,GloVe
2022/1/13,1,208,abbey,132726,3345,0.025202296,1,2,13,29,31,20,3,4.65,
2022/9/25,0,463,admit,28994,2677,0.092329447,0,10,25,34,22,8,1,3.99,
2022/12/4,0,533,adore,25577,2398,0.093756109,2,17,32,29,15,5,1,3.63,
2022/7/7,1,383,agape,43407,3671,0.084571613,0,2,18,36,27,15,3,4.57,
2022/3/4,1,258,ahead,203730,9396,0.046119865,1,5,20,35,26,12,2,4.33,
2022/5/24,1,339,album,63380,4809,0.075875671,0,5,26,35,24,9,1,4.12,
2022/8/6,0,413,alien,38841,3395,0.087407636,3,17,31,29,15,4,0,3.45,
2022/9/20,1,458,alike,31277,2843,0.090897465,0,6,20,33,27,12,2,4.31,
2022/3/19,0,273,allow,156311,8515,0.054474733,0,5,21,32,26,14,3,4.45,
2022/2/5,0,231,aloft,319698,13708,0.042877966,1,4,22,36,25,11,2,4.3,
2022/11/3,1,502,aloud,29554,2819,0.095384719,1,18,31,30,15,4,1,3.59,
2022/9/13,1,451,alpha,29497,2706,0.091738143,0,3,19,40,28,9,1,4.27,
2022/12/6,1,535,amber,23509,2261,0.096175933,0,6,22,33,24,12,3,4.32,
2022/4/17,0,302,ample,106681,7008,0.065691173,0,4,20,35,27,11,2,4.29,
2022/7/19,1,395,angry,39667,3358,0.084654751,0,5,27,38,21,7,1,4.0,
2022/12/23,1,552,aorta,21937,2112,0.096275699,0,7,26,35,20,10,3,4.22,
2022/7/21,1,397,aphid,39086,3367,0.086143376,0,6,24,36,23,9,2,4.17,
2022/12/12,1,541,apply,22873,2150,0.093997289,0,5,28,38,22,7,1,4.08,
2022/6/16,1,362,apron,53430,4112,0.076960509,0,7,30,38,19,5,1,3.91,
2022/10/31,1,499,aptly,26498,2572,0.097063929,0,3,26,41,23,7,1,4.15,
2022/2/15,1,241,aroma,287836,10343,0.035933657,1,6,25,33,22,11,2,4.16,
2022/4/25,1,310,askew,91548,6549,0.071536243,0,3,13,29,32,19,4,4.75,
2022/5/26,1,341,asset,63188,4733,0.074903463,0,7,28,34,21,8,1,3.97,
2022/5/30,0,345,atoll,60969,4741,0.077760829,0,6,28,36,21,8,1,4.03,
2022/6/14,1,360,atone,59968,4762,0.079409018,2,16,34,29,14,4,1,3.56,
2022/11/19,0,518,avert,24749,2400,0.096973615,0,7,26,35,22,9,1,4.06,
2022/6/22,1,368,awful,47645,3861,0.081036835,0,5,21,33,27,12,2,4.32,
2022/11/21,1,520,axiom,24288,2382,0.098073123,0,5,19,33,27,13,3,4.42,
2022/5/6,1,321,badge,76292,5482,0.071855503,0,4,20,35,26,12,2,4.3,
2022/11/16,1,515,baker,25576,2541,0.099350954,0,5,16,23,24,22,10,5.02,
2022/5/29,0,344,bayou,56839,4435,0.078027411,0,6,17,33,29,13,2,4.38,
2022/6/25,0,371,beady,46089,3670,0.079628545,0,3,19,39,29,10,1,4.34,
2022/11/7,1,506,begin,26096,2439,0.0934626,0,6,26,36,23,7,1,4.01,
2022/5/17,1,332,being,70722,5142,0.07270722,0,4,22,37,26,10,1,4.22,
2022/7/10,0,386,berth,41785,3494,0.083618523,0,7,24,35,24,9,1,4.1,
2022/4/10,0,295,black,126241,7894,0.06253119,1,10,31,34,18,6,1,3.86,
2022/7/13,1,389,bland,46246,3727,0.080590754,0,7,31,38,18,4,0,3.73,
2022/2/24,1,250,bloke,250674,10405,0.041508094,1,6,21,32,25,12,2,4.21,
2022/6/17,1,363,blown,54665,4251,0.077764566,0,6,23,35,26,10,1,4.21,
2022/7/30,0,406,bluff,37353,3171,0.08489278,0,2,14,42,31,10,1,4.39,
2022/9/12,1,450,booze,29147,2883,0.09891241,0,1,7,27,38,23,4,4.99,
2022/10/4,1,472,bough,32014,3060,0.095583182,0,3,17,35,28,13,3,4.45,
2022/12/9,1,538,braid,23640,2165,0.091582064,0,10,36,35,14,3,0,3.56,
2022/11/20,0,519,brave,24991,2396,0.095874515,1,6,17,27,27,18,5,4.65,
2022/3/5,0,259,brine,229895,10405,0.045259793,1,9,25,29,22,12,3,4.22,
2022/6/23,1,369,brink,53111,4118,0.077535727,0,4,22,41,24,7,1,4.1,
2022/9/26,1,464,brisk,31706,2884,0.090960701,0,5,23,38,24,7,1,4.03,
2022/8/5,1,412,buggy,37350,3428,0.091780455,0,1,9,29,34,22,5,4.97,
2022/6/18,0,364,cacao,47205,4101,0.08687639,0,1,9,27,36,23,4,4.95,
2022/5/8,0,323,canny,72518,5256,0.072478557,0,2,10,30,34,20,4,4.84,
2022/4/20,1,305,cargo,102007,6796,0.066622879,0,5,20,34,27,12,2,4.33,
2022/10/27,1,495,carry,27609,2615,0.094715491,0,4,22,35,24,12,3,4.36,
2022/10/15,0,483,catch,30403,3123,0.102720126,0,7,18,20,15,16,23,5.49,
2022/3/16,1,270,cater,217856,11234,0.051566172,1,7,19,22,19,18,15,5.13,
2022/2/16,1,242,caulk,289721,10740,0.037070147,1,4,20,31,26,15,3,4.43,
2022/12/2,1,531,chafe,24646,2343,0.095066136,0,6,30,33,19,9,2,4.03,
2022/2/27,0,253,chant,250413,10438,0.041683139,1,9,33,33,16,7,1,3.82,
2022/9/2,1,440,charm,35724,3149,0.088148024,1,12,32,34,16,5,1,3.77,
2022/4/16,0,301,cheek,107987,7035,0.065146731,0,3,19,40,28,9,1,4.27,
2022/3/24,1,278,chest,169066,9318,0.055114571,1,14,35,31,14,5,1,3.68,
2022/8/29,1,436,chief,34281,3072,0.089612322,1,6,32,38,18,5,0,3.81,
2022/2/28,1,254,choke,251094,10521,0.041900643,1,8,30,36,18,6,1,3.87,
2022/12/17,0,546,chord,22336,2088,0.093481375,0,7,39,38,13,3,0,3.66,
2022/4/13,1,298,chunk,123255,7835,0.063567401,1,4,29,42,18,5,1,3.94,
2022/9/17,0,455,chute,33418,3073,0.091956431,0,11,37,36,12,3,0,3.55,
2022/7/26,1,402,cinch,39171,3507,0.08953052,0,2,15,24,22,25,13,5.35,
2022/9/8,1,446,class,31962,3001,0.093892748,0,4,21,32,22,13,7,4.57,
2022/8/10,1,417,cling,37654,3312,0.087958783,0,4,20,34,27,13,2,4.37,
2022/3/6,0,260,cloth,218595,9911,0.045339555,1,8,33,34,17,7,1,3.89,
2022/8/25,1,432,clown,36737,3175,0.08642513,1,8,29,36,20,6,1,3.94,
2022/4/6,1,291,comma,117856,7560,0.064146077,0,2,13,33,33,17,3,4.72,
2022/12/27,1,556,condo,20879,2012,0.096364768,0,2,17,35,29,14,3,4.54,
2022/1/29,0,224,could,313220,11592,0.037009131,1,7,29,35,20,8,1,4.0,
2022/8/2,1,409,coyly,34909,3380,0.096823169,0,0,4,17,28,35,15,5.8,
2022/7/31,0,407,cramp,39250,3369,0.085834395,1,8,26,33,19,10,2,4.02,
2022/1/8,0,203,crank,101503,1763,0.017368945,1,5,23,31,24,14,2,4.28,
2022/6/1,1,347,creak,63241,4797,0.075852691,0,5,21,32,25,14,3,4.4,
2022/5/28,0,343,crept,60069,4562,0.075945995,0,4,27,38,22,7,1,4.03,
2022/1/23,0,218,crimp,269929,7630,0.028266692,1,5,28,38,20,7,1,3.99,
2022/2/14,1,240,cynic,261521,10343,0.039549405,1,6,25,33,22,11,2,4.16,
2022/10/7,1,475,dandy,29026,2840,0.097843313,0,2,11,23,29,24,11,5.28,
2022/5/16,1,331,delve,68349,5179,0.075772872,0,2,14,32,33,16,2,4.55,
2022/10/20,1,488,denim,28741,2769,0.096343203,0,5,29,40,20,5,0,3.87,
2022/3/25,1,279,depot,150197,8562,0.057005133,0,5,29,36,20,7,1,3.93,
2022/6/5,0,351,depth,56738,4329,0.076298072,0,6,28,39,20,6,1,3.98,
2022/2/18,1,244,dodge,265238,10220,0.038531432,1,3,15,29,27,19,7,4.87,
2022/6/13,1,359,donor,53802,4142,0.076985986,0,3,27,38,23,7,1,4.06,
2022/9/15,1,453,doubt,33344,3011,0.090301104,1,12,32,34,16,4,0,3.61,
2022/11/5,0,504,dream,29743,2751,0.092492351,5,14,31,29,15,4,1,3.51,
2022/1/11,1,206,drink,153880,3017,0.019606187,1,9,35,34,16,5,1,3.8,
2022/11/23,1,522,drive,26663,2451,0.09192514,1,12,32,30,18,6,1,3.77,
2022/6/28,1,374,droll,47312,3844,0.081247886,0,2,16,31,31,17,3,4.63,
2022/7/2,0,378,egret,41765,3515,0.084161379,0,3,14,33,33,15,2,4.55,
2022/12/1,1,530,eject,22628,2200,0.097224677,0,2,11,35,36,14,2,4.61,
2022/2/7,1,233,elder,288228,13340,0.046282804,1,3,13,24,30,24,5,4.86,
2022/7/25,1,401,elope,39228,3339,0.085117773,0,4,22,32,26,13,2,4.3,
2022/10/10,1,478,enjoy,26878,2654,0.098742466,0,3,12,29,33,20,3,4.73,
2022/3/26,0,280,epoxy,149507,9376,0.062712783,0,2,13,31,33,18,3,4.7,
2022/10/13,1,481,equal,27197,2677,0.098429974,0,5,23,35,25,11,2,4.3,
2022/12/22,1,551,excel,20490,2034,0.099267936,0,1,13,34,34,15,2,4.57,
2022/10/18,1,486,exist,28612,2805,0.098035789,0,5,24,38,23,8,1,4.07,
2022/12/25,0,554,extra,15554,1562,0.100424328,1,5,20,35,28,10,1,4.21,
2022/5/11,1,326,farce,79446,5688,0.071595801,0,9,26,32,21,9,1,3.93,
2022/10/24,1,492,fault,28947,2768,0.095623035,0,7,27,35,22,8,1,4.03,
2022/1/12,1,207,favor ,137586,3073,0.022335121,1,4,15,26,29,21,4,4.69,
2022/11/24,0,523,feast,27705,2725,0.098357697,5,13,25,27,19,10,2,3.89,
2022/4/3,0,288,fewer,124532,7931,0.063686442,0,2,10,24,32,26,6,5.06,
2022/7/5,1,381,field,44578,3604,0.080847055,1,6,25,36,23,9,1,4.11,
2022/4/18,1,303,flair,112383,7341,0.065321267,1,8,30,36,18,6,1,3.87,
2022/6/12,0,358,float,56684,4323,0.076264907,1,12,30,32,18,6,1,3.79,
2022/7/18,1,394,flock,42574,3548,0.083337248,0,4,22,37,27,9,1,4.21,
2022/6/7,1,·,flood,58991,4440,0.075265718,0,3,20,40,28,8,1,4.24,
2022/10/14,1,482,floor,28906,2752,0.095205148,0,3,23,44,24,6,0,4.07,
2022/10/26,1,494,flout,30063,2904,0.096597146,0,6,28,37,21,7,1,4.01,
2022/7/6,1,382,fluff,47344,4049,0.085522981,0,0,4,25,44,23,4,5.1,
2022/3/13,0,267,focus,179436,8937,0.049806059,1,4,23,36,24,10,1,4.12,
2022/10/25,1,493,foggy,28953,2817,0.097295617,0,2,13,35,32,15,3,4.63,
2022/4/7,1,292,foray,117761,7575,0.064325201,0,2,14,31,31,19,4,4.79,
2022/5/1,0,316,forgo,77658,5699,0.073385871,0,1,9,26,37,23,3,4.86,
2022/3/28,1,282,found,173696,10613,0.061101004,1,6,17,22,20,21,14,5.18,
2022/4/19,1,304,foyer,108899,8198,0.075280765,0,2,10,19,19,23,26,6.03,
2022/2/8,1,234,frame,336236,15369,0.045708966,1,10,20,24,24,17,3,4.29,
2022/6/4,0,350,froth,58263,4432,0.07606886,0,5,22,35,25,11,1,4.17,
2022/9/1,1,439,fungi,31903,2928,0.091778203,0,2,18,41,28,9,1,4.26,
2022/5/20,1,335,gamer,69884,5238,0.074952779,1,4,17,28,26,18,6,4.7,
2022/8/28,0,435,gauze,30214,2866,0.094856689,0,2,11,24,31,25,8,5.18,
2022/6/29,1,375,gawky,45645,3957,0.086690766,0,1,5,22,33,28,10,5.38,
2022/5/10,1,325,gecko,74412,5489,0.073764984,0,2,16,38,29,12,2,4.41,
2022/6/9,1,355,girth,60020,4665,0.077724092,0,6,23,33,23,12,3,4.3,
2022/5/19,1,334,glass,70920,5162,0.072786238,0,4,19,33,27,14,3,4.46,
2022/8/11,1,418,glean,37301,3243,0.086941369,0,6,23,37,24,8,1,4.07,
2022/6/21,1,367,gloat,53342,4194,0.078624723,0,8,21,31,26,12,2,4.25,
2022/6/6,1,352,gloom,58478,4548,0.077772838,0,2,14,35,35,13,1,4.49,
2022/9/23,1,461,glory,31509,2893,0.091815037,0,6,30,39,19,5,0,3.83,
2022/11/18,1,517,glyph,29208,2899,0.099253629,0,2,23,49,20,5,1,4.09,
2022/6/11,0,357,goose,51958,4087,0.078659687,0,2,12,28,32,21,5,4.88,
2022/1/9,0,204,gorge,91477,1913,0.02091236,1,3,13,27,30,22,4,4.76,
2022/9/24,0,462,grate,32777,3077,0.093876804,1,14,29,28,16,8,3,3.86,
2022/10/21,1,489,grove,28637,2794,0.097566086,0,4,18,30,28,17,3,4.54,
2022/8/16,1,423,gruel,35105,3087,0.087936191,0,3,19,39,29,9,1,4.28,
2022/9/3,0,441,gully,31191,2877,0.092238146,0,1,9,27,31,25,7,5.12,
2022/5/3,1,318,hairy,85817,5941,0.069228708,1,8,24,33,23,10,1,4.06,
2022/11/27,0,526,happy,25206,2356,0.093469809,0,6,28,39,19,6,1,3.93,
2022/12/29,1,558,havoc,20001,1919,0.095945203,0,2,16,38,30,12,2,4.46,
2022/4/26,1,311,heist,103153,6830,0.066212325,1,13,32,31,16,6,1,3.73,
2022/5/23,1,338,hinge,66431,4906,0.073851064,0,5,25,37,22,9,2,4.17,
2022/3/7,1,261,hoard,218595,9823,0.044936984,1,9,30,34,19,7,1,3.92,
2022/5/5,1,320,homer,85979,6313,0.073424906,0,3,16,26,24,19,12,5.12,
2022/10/9,0,477,howdy,28408,2668,0.093917206,0,2,13,32,32,17,4,4.73,
2022/2/9,1,235,humor,305372,13846,0.04534142,1,5,22,34,25,11,2,4.24,
2022/8/13,0,420,hunky,35276,3185,0.090288015,0,1,11,33,25,22,7,4.94,
2022/6/30,1,376,hutch,44212,3758,0.084999548,0,1,12,28,28,21,9,5.06,
2022/12/28,1,557,impel,20160,1937,0.096081349,0,3,21,40,25,9,1,4.18,
2022/11/13,0,512,inane,25085,2515,0.100259119,0,8,25,30,21,13,3,4.24,
2022/11/2,1,501,inept,27670,2640,0.095410192,0,6,30,39,20,6,1,4.04,
2022/4/24,0,309,inert,97452,6743,0.069193039,0,7,27,34,22,9,1,4.05,
2022/12/8,1,537,infer,21199,1863,0.087881504,0,3,19,33,26,14,3,4.39,
2022/6/20,0,366,input,50484,3950,0.078242612,0,5,30,38,21,6,1,4.03,
2022/9/4,0,442,inter,32018,2889,0.090230495,0,6,25,36,23,8,1,4.04,
2022/10/12,1,480,ionic,29151,2947,0.101094302,0,2,13,25,28,21,11,5.19,
2022/8/26,1,433,irony,34716,3046,0.087740523,0,6,29,34,21,8,1,3.98,
2022/11/25,1,524,itchy,24197,2329,0.096251601,0,8,28,40,18,5,1,3.9,
2022/12/7,1,536,joust,24899,2388,0.095907466,0,6,29,34,21,8,2,4.08,
2022/12/26,0,555,judge,20011,2043,0.102093848,0,2,8,16,26,33,14,5.6,
2022/8/14,0,421,khaki,31652,2968,0.093769746,0,2,17,33,28,16,4,4.63,
2022/12/10,0,539,knock,21157,2041,0.096469254,0,3,18,43,27,8,1,4.25,
2022/1/24,1,219,knoll,258038,8317,0.032231687,1,1,11,29,33,21,4,4.83,
2022/8/12,1,419,label,34198,3076,0.089946781,0,4,18,32,29,15,2,4.45,
2022/3/10,1,264,lapse,208884,9960,0.047681967,0,8,31,34,19,7,1,3.92,
2022/4/30,0,315,larva,77991,5749,0.073713634,0,2,10,25,35,23,4,4.87,
2022/10/1,0,469,leave,28202,2696,0.095596057,0,4,16,34,31,12,1,4.29,
2022/9/7,1,445,leery,30992,2873,0.092701342,0,3,17,37,28,12,2,4.37,
2022/10/29,0,497,libel,25156,2536,0.10081094,0,3,15,32,32,16,2,4.55,
2022/1/31,1,226,light,341314,13347,0.039104754,1,10,25,27,19,12,5,4.21,
2022/7/3,0,379,lilac,40486,3461,0.085486341,0,2,17,38,29,12,1,4.34,
